30,W7_EDlXWTBiXAEEniNoMPwAAY7FKvh1JCtvXaAWfcborZAWfcbokJAHanAA,Ahmedabad,23.01516782250134,72.50291411398538,1545591374000,24_12_2018,9.819,https://s.sc-cdn.net/vD6KX-VmXjze1Q8N5ojkpexmaE7PAIbwnu4fLU2TuUQ=/default/,2018-12-23 18:56:14,2018-12-24 00:26:14,0.0
1791,W7_EDlXWTBiXAEEniNoMPwAAYzySMluvMDziUAWfcqm76AWfcqm2jAHanAA,Ahmedabad,23.01516782250134,72.50291411398538,1545595362000,24_12_2018,9.311,https://s.sc-cdn.net/JIny840YcfcbH4KW5IsvEv90Uz-CVhUgolW5oC3fysA=/default/,2018-12-23 20:02:42,2018-12-24 01:32:42,1.0
1793,W7_EDlXWTBiXAEEniNoMPwAAYjQL0pCEbZqGnAWfeJUqkAWfeJUjMAHanAA,Ahmedabad,23.10500128050241,72.57611878496344,1545620118000,24_12_2018,3.0,https://s.sc-cdn.net/RnuQeGLmqVycrGmgAWb94BTldzD99OU6ZUMeEccFAjc=/default/,2018-12-24 02:55:18,2018-12-24 08:25:18,0.0
2041,W7_EDlXWTBiXAEEniNoMPwAAYrb9OQ-gSmaMRAWfeuo_vAWfeuo5yAHanAA,Ahmedabad,23.060084551501873,72.47851255699268,1545629968000,24_12_2018,6.06,https://s.sc-cdn.net/G1fwhcJFXYmaSaA7eR8tY5GPPRWZlnelv2D3QbILUBA=/default/,2018-12-24 05:39:28,2018-12-24 11:09:28,1.0
2418,W7_EDlXWTBiXAEEniNoMPwAAY56ZXCPQqnBj_AWfc-9J5AWfc-9EVAHanAA,Ahmedabad,23.01516782250134,72.50291411398538,1545600474000,24_12_2018,10.008,https://s.sc-cdn.net/93fkX6lyQHDdfUKLfXQx2_dukwbqR6GOBjdIg_uOWbA=/default/,2018-12-23 21:27:54,2018-12-24 02:57:54,0.0
2645,W7_EDlXWTBiXAEEniNoMPwAAYqGZePIAADR0xAWfgR7HwAWfgR7AQAHanAA,Ahmedabad,23.082542916002144,72.52731567097806,1545655897000,24_12_2018,4.733333333333333,https://s.sc-cdn.net/NSEmL9f9qXX4xDbdrEM-eZ73zIISyiHG2UBgWQG8thI=/default/,2018-12-24 12:51:37,2018-12-24 18:21:37,1.0
3747,W7_EDlXWTBiXAEEniNoMPwAAYKATqGNu4LJswAWfgM6A7AWfgM56CAHanAA,Ahmedabad,23.060084551501873,72.52731567097806,1545654150000,24_12_2018,6.833333333333332,https://s.sc-cdn.net/JCr-VrjsAIycYKuDsPRGfcZTDi3IpCgIYU0Gg8rMRpQ=/default/,2018-12-24 12:22:30,2018-12-24 17:52:30,1.0
4100,W7_EDlXWTBiXAEEniNoMPwAAYkWqKacV3bc-hAWfgYO1-AWfgYOvpAHanAA,Ahmedabad,23.12745964500268,72.60052034195611,1545657686000,24_12_2018,10.194,https://s.sc-cdn.net/ytFGXqnrBGEtKCU83PQ6EUm3N8oQqRXmkU6i9Kq_Uqk=/default/,2018-12-24 13:21:26,2018-12-24 18:51:26,1.0
5151,W7_EDlXWTBiXAEEniNoMPwAAYX5wx_6mJs28dAWfe9l6YAWfe9l0eAHanAA,Ahmedabad,23.03762618700161,72.50291411398538,1545633847000,24_12_2018,10.0,https://s.sc-cdn.net/-DHLReS42Hx8l1a8Zg1O6DFy0_94lde5OADGOwgO-S4=/default/,2018-12-24 06:44:07,2018-12-24 12:14:07,1.0
5243,W7_EDlXWTBiXAEEniNoMPwAAYbmdfymBW0aukAWfcZOiyAWfcZObaAHanAA,Ahmedabad,23.01516782250134,72.52731567097806,1545590663000,24_12_2018,9.601,https://s.sc-cdn.net/FvUq3te06WwSS77Qp19-yQ62PaIxiuRYLKS4fuKaiFU=/default/,2018-12-23 18:44:23,2018-12-24 00:14:23,0.0
